show_id,type,date_added,release_year,rating,duration
s277,TV Show,"August 13, 2021",2021,TV-MA,2 Seasons
s278,TV Show,"August 12, 2021",2021,TV-14,1 Season
s279,Movie,"August 12, 2021",2021,TV-MA,64 min
s280,Movie,"August 12, 2021",2021,TV-PG,59 min
s281,TV Show,"August 11, 2021",2021,TV-PG,1 Season
s282,Movie,"August 11, 2021",2016,TV-14,101 min
s283,Movie,"August 11, 2021",2020,TV-MA,127 min
s284,Movie,"August 11, 2021",2021,PG-13,90 min
s285,Movie,"August 11, 2021",2021,TV-14,114 min
s286,Movie,"August 11, 2021",2013,R,108 min
s287,TV Show,"August 10, 2021",2021,TV-Y,2 Seasons
s288,TV Show,"August 10, 2021",2021,TV-14,1 Season
s289,TV Show,"August 10, 2021",2018,TV-MA,1 Season
s290,TV Show,"August 10, 2021",2019,TV-14,1 Season
s291,Movie,"August 10, 2021",2021,TV-MA,70 min
s292,TV Show,"August 9, 2021",2021,TV-14,1 Season
s293,Movie,"August 8, 2021",2012,PG-13,98 min
s294,Movie,"August 8, 2021",2021,TV-MA,86 min
s295,Movie,"August 7, 2021",2020,TV-PG,139 min
s296,Movie,"August 7, 2021",2021,PG-13,111 min
s297,TV Show,"August 6, 2021",2021,TV-MA,1 Season
s298,TV Show,"August 6, 2021",2021,TV-MA,1 Season
s299,Movie,"August 6, 2021",2020,TV-MA,115 min
s300,Movie,"August 6, 2021",2021,TV-14,102 min
s301,Movie,"August 6, 2021",2021,PG,100 min
s302,Movie,"August 5, 2021",2013,TV-14,135 min
s303,Movie,"August 5, 2021",2013,TV-MA,69 min
s304,Movie,"August 5, 2021",1985,TV-MA,95 min
s305,Movie,"August 5, 2021",2021,TV-14,97 min
s306,Movie,"August 5, 2021",1993,TV-MA,124 min
s307,Movie,"August 4, 2021",2016,TV-PG,118 min
s308,Movie,"August 4, 2021",2021,TV-MA,115 min
s309,Movie,"August 4, 2021",2012,TV-MA,115 min
s310,TV Show,"August 4, 2021",2021,TV-PG,3 Seasons
s311,TV Show,"August 4, 2021",2021,TV-MA,1 Season
s312,TV Show,"August 4, 2021",2021,TV-MA,2 Seasons
s313,TV Show,"August 4, 2021",2021,TV-MA,1 Season
s314,TV Show,"August 3, 2021",2009,TV-14,1 Season
s315,Movie,"August 3, 2021",1995,R,104 min
s316,Movie,"August 3, 2021",2010,TV-MA,106 min
s317,TV Show,"August 3, 2021",2011,TV-14,1 Season
s318,Movie,"August 3, 2021",2021,PG-13,102 min
s319,Movie,"August 3, 2021",2021,TV-MA,97 min
s320,TV Show,"August 3, 2021",2005,TV-14,1 Season
s321,TV Show,"August 3, 2021",2021,TV-PG,1 Season
s322,TV Show,"August 3, 2021",2013,TV-14,1 Season
s323,TV Show,"August 3, 2021",2008,TV-MA,1 Season
s324,TV Show,"August 1, 2021",2012,TV-14,7 Seasons
s325,TV Show,"August 1, 2021",2020,TV-Y7,3 Seasons
s326,Movie,"August 1, 2021",1992,PG,87 min
s327,Movie,"August 1, 2021",1993,PG,88 min
s328,Movie,"August 1, 2021",2007,PG-13,114 min
s329,Movie,"August 1, 2021",2016,R,90 min
s330,Movie,"August 1, 2021",2002,PG-13,142 min
s331,Movie,"August 1, 2021",2009,PG,90 min
s332,TV Show,"August 1, 2021",2020,TV-MA,1 Season
s333,Movie,"August 1, 2021",1999,R,105 min
s334,Movie,"August 1, 2021",1986,PG-13,103 min
s335,Movie,"August 1, 2021",2019,PG-13,116 min
s336,Movie,"August 1, 2021",2006,R,113 min
s337,TV Show,"August 1, 2021",2010,TV-14,5 Seasons
s338,Movie,"August 1, 2021",2007,R,99 min
s339,TV Show,"August 1, 2021",2014,TV-14,6 Seasons
s340,Movie,"August 1, 2021",2021,TV-14,96 min
s341,Movie,"August 1, 2021",2010,PG-13,148 min
s342,Movie,"August 1, 2021",1999,R,189 min
s343,Movie,"August 1, 2021",1995,PG-13,97 min
s344,Movie,"August 1, 2021",1991,PG-13,102 min
s345,Movie,"August 1, 2021",1994,PG,99 min
s346,Movie,"August 1, 2021",2015,PG,85 min
s347,Movie,"August 1, 2021",2008,R,112 min
s348,Movie,"August 1, 2021",2009,PG,91 min
s349,Movie,"August 1, 2021",2019,PG-13,91 min
s350,Movie,"August 1, 2021",2003,PG-13,141 min
s351,Movie,"August 1, 2021",2000,PG-13,130 min
s352,Movie,"August 1, 2021",2004,R,98 min
s353,Movie,"August 1, 2021",2016,R,105 min
s354,Movie,"August 1, 2021",2013,R,101 min
s355,Movie,"August 1, 2021",1991,R,105 min
s356,Movie,"August 1, 2021",2011,R,118 min
s357,Movie,"August 1, 2021",2010,PG-13,97 min
s358,Movie,"August 1, 2021",2004,R,102 min
s359,Movie,"August 1, 2021",1995,PG-13,114 min
s360,Movie,"August 1, 2021",2000,R,111 min
s361,Movie,"August 1, 2021",2010,PG-13,125 min
s362,TV Show,"July 31, 2021",2021,TV-14,3 Seasons
s363,Movie,"July 31, 2021",2018,TV-14,76 min
s364,Movie,"July 31, 2021",2021,R,118 min
s365,TV Show,"July 30, 2021",2021,TV-Y7,1 Season
s366,Movie,"July 30, 2021",2014,TV-14,103 min
s367,TV Show,"July 30, 2021",2021,TV-14,3 Seasons
s368,Movie,"July 30, 2021",2020,TV-14,114 min
s369,TV Show,"July 30, 2021",2009,TV-14,1 Season
s370,TV Show,"July 30, 2021",2021,TV-14,1 Season
s371,TV Show,"July 30, 2021",2021,TV-MA,2 Seasons
s372,Movie,"July 30, 2021",2009,TV-14,95 min
s373,Movie,"July 30, 2021",2021,TV-MA,138 min
s374,Movie,"July 30, 2021",2021,TV-MA,112 min
s375,Movie,"July 29, 2021",2013,TV-PG,94 min
s376,Movie,"July 29, 2021",2021,TV-14,102 min
s377,TV Show,"July 29, 2021",2021,TV-Y7,1 Season
s378,Movie,"July 28, 2021",2021,TV-MA,92 min
s379,Movie,"July 28, 2021",2019,TV-14,81 min
s380,TV Show,"July 28, 2021",2021,TV-MA,1 Season
s381,TV Show,"July 28, 2021",2021,TV-14,7 Seasons
s382,TV Show,"July 28, 2021",2021,TV-MA,1 Season
s383,TV Show,"July 27, 2021",2021,TV-14,3 Seasons
s384,Movie,"July 27, 2021",2012,TV-MA,143 min
s385,Movie,"July 27, 2021",2021,TV-14,86 min
s386,TV Show,"July 27, 2021",2021,TV-MA,3 Seasons
s387,TV Show,"July 27, 2021",2021,TV-Y,4 Seasons
s388,Movie,"July 27, 2021",2021,TV-14,132 min
s389,TV Show,"July 27, 2021",2021,TV-MA,1 Season
s390,Movie,"July 27, 2021",2019,TV-MA,117 min
s391,TV Show,"July 26, 2021",2019,TV-MA,10 Seasons
